	Kingdom	Phylum	Class	Order	Family	Genus
ASV_328	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV_329	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_330	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
ASV_331	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia
ASV_332	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_333	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ahrensia
ASV_335	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides
ASV_336	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_337	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
ASV_338	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Undibacterium
ASV_339	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
ASV_340	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
ASV_341	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
ASV_342	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
ASV_343	Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	Caedibacter
ASV_344	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
ASV_345	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA
ASV_346	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Captivus
ASV_347	Bacteria	WPS-2	NA	NA	NA	NA
ASV_348	Bacteria	WPS-2	NA	NA	NA	NA
ASV_349	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	OLB12
ASV_350	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Acidovorax
ASV_351	Bacteria	Verrucomicrobia	Verrucomicrobiae	NA	NA	NA
ASV_352	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ahrensia
ASV_353	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV_354	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	NA
ASV_355	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
ASV_356	Eukaryota	NA	NA	NA	NA	NA
ASV_357	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
ASV_358	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium
ASV_359	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Chromobacteriaceae	Crenobacter
ASV_360	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
ASV_361	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
